Country Name,Country Code,Capitol City,Population,GDP,Happiness Rank
Democratic Republic of the Congo,COD,Kinshasa,84068091,47227535291,124
Lesotho,LSO,Maseru,2108132,2791762880,139
El Salvador,SLV,San Salvador,6420744,26056950000,45
New Zealand,NZL,Wellington,4885500,205000000000,8
Palestinian Territories,PSE,East Jerusalem,4550000,14500000000,103
Paraguay,PRY,Asuncion,6956071,40842341774,70
Kosovo,XKX,Pristina,1845300,7900268736,78
Haiti,HTI,Port-au-Prince,11123176,9658084644,145
Hungary,HUN,Budapest,9768785,156000000000,75
Belarus,BLR,Minsk,9485386,59662495092,67
Liberia,LBR,Monrovia,4818977,3249000000,148
Senegal,SEN,Dakar,15854360,24129599552,115
Yemen,YEM,Sanaa,28498687,26914402224,146
Turkmenistan,TKM,Ashgabat,5850908,40761142857,59
Niger,NER,Niamey,22442948,9239513530,135
Ireland,IRL,Dublin,4853506,376000000000,15
Philippines,PHL,Manila,106651922,331000000000,72
Jamaica,JAM,Kingston,2934855,15717858487,76
Italy,ITA,Rome,60431283,2070000000000,48
Luxembourg,LUX,Luxembourg,607728,69487922619,18
Nepal,NPL,Kathmandu,28087871,28812491892,99
Ethiopia,ETH,Addis Ababa,109224559,84355462494,119
Serbia,SRB,Belgrade,6982084,50508366850,73
Mozambique,MOZ,Maputo,29495962,14457964381,113
Japan,JPN,Tokyo,126529100,4970000000000,51
United Arab Emirates,ARE,Abu Dhabi,9630959,414000000000,21
Trinidad and Tobago,TTO,Port of Spain,1389858,23410353435,38
Cameroon,CMR,Yaounde,25216237,38502059858,107
Albania,ALB,Tirana,2866376,15058879129,109
Argentina,ARG,Buenos Aires,44494502,518000000000,24
Mongolia,MNG,Ulan Bator,3170208,13009574621,100
Guinea,GIN,Conakry,12414318,10989790256,149
Colombia,COL,Bogota,49648685,330000000000,36
